ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
Agrimonia,Erba de la sfogasiu,botanica,erba de la sfogasiu,19
Agrimonia,Erba del calur,botanica,erba del calur,14
Agro,Agher,,agher,5
Agro,Garb,arcaico,garb,4
Agrostide stolonifera,Erba tremarina,botanica,erba tremarina,14
Agrostide stolonifera,Tremari,botanica,tremari,7
"Agucchiare, lavorare a maglia",Ucia,,ucia,4
Aguzzare,Gosa,,gosa,4
ITALIANO,BRESCIANO,categoria,bresciano,9
Aguzzo,Gromer,,gromer,6
Aia,Era,,era,3
Ailanto,Leantus,botanica,leantus,7
Airone,Airu,ornitologia,airu,4
Airone,Ardea,ornitologia,ardea,5
Airone,Segagn,ornitologia,segagn,6
Airone cenerino,Pola selvadega,ornitologia,pola selvadega,14
Aiutare,Aida,,aida,4
Aiutare,Ota,,ota,3
Aiutare,Vota,,vota,4
Alare,Bordonal,arcaico,bordonal,8
Alare,brondonal,arcaico,brondonal,9
Alba,Albur,,albur,5
Alba,Lea 'l sul,,lea 'l sul,10
Albanella,Falchitu de lama,ornitologia,falchitu de lama,16
Albanella di palude,Falchet de campagna,ornitologia,falchet de campagna,19
Albanella minore,Falchet de lagh,ornitologia,falchet de lagh,15
Albanella reale,Falchet ros,ornitologia,falchet ros,11
Albanella reale,Moliner,,moliner,7
Albatico,Albamat,arcaico,albamat,7
Alberello,Albarel,,albarel,7
Albero di Giuda,Guainot,botanica,guainot,7
Albicocca,Ambrognaga,,ambrognaga,10
Albicocca,Romignaga,arcaico,romignaga,9
Alborella,Aola,pesce-pesca,aola,4
Albume,Ciara,,ciara,5
Albume,Ciara d'ov,,ciara d'ov,10
Alchechengi,Baline rose,botanica,baline rose,11
Alchechengi,Pa de cuco,botanica,pa de cuco,10
Alchechengi,Balunsi,botanica,balunsi,7
Alchechengi,Dindiline,botanica,dindiline,9
Alchemilla,Erba de la memoria,botanica,erba de la memoria,18
Alchemilla,Erba maulina,botanica,erba maulina,12
Alchemilla,Erba stela,botanica,erba stela,10
Alchemilla,Pe de liu,botanica,pe de liu,9
Alchemilla,Stearia,botanica,stearia,7
Alcova,Alcua,arcaico,alcua,5
Alcuna,Argona,,argona,6
Alcuno,Argu,,argu,4
Alettone,Aletu,,aletu,5
Alfiere,Portastendard,,portastendard,13
Alice,Aciuga,pesce-pesca,aciuga,6
Alito condensato,Bof,,bof,3
All'improvviso,A la sproista,,a la sproista,13
ITALIANO,BRESCIANO,categoria,bresciano,9
All'improvviso,Tot de'n bot,,tot de'n bot,12
All'infinito,Finafinorum,,finafinorum,11
Allacciare,Sula,,sula,4
Allacciare,Sula so,,sula so,7
Allampanato,Mus de bacala,figurativo,mus de bacala,13
Allampanato,Os De mort,figurativo,os de mort,10
Allargare,Slarga,,slarga,6
Allegamento dei denti,Antizu,,antizu,6
Allegamento dei denti,Dentizu,,dentizu,7
Allegamento dei denti,Sgrizoi,,sgrizoi,7
Alleggerire,Slezeri,,slezeri,7
Allegria comune,Matolera,,matolera,8
Allegro,Gringol,,gringol,7
Allentato,Mol,,mol,3
Allentato,Slentat,,slentat,7
Allentato,Slonsat,,slonsat,7
Allevare,Lea,,lea,3
Allevare,Lea fora,,lea fora,8
Allignante,Liga,botanica,liga,4
Allocco,Aguila,ornitologia,aguila,6
Allocco,Aloch,ornitologia,aloch,5
Allocco,Balandrana,ornitologia,balandrana,10
Allocco,Bosa,ornitologia,bosa,4
Allocco,Cavra bezol,ornitologia,cavra bezol,11
Allocco,Loch negher,ornitologia,loch negher,11
Allocco,Gof,ornitologia,gof,3
Allocco,loch de bosch,ornitologia,loch de bosch,13
Allocco,Decampagna,ornitologia,decampagna,10
Allocco,Selvadech,ornitologia,selvadech,9
Allocco (uomo da poco),Fretol,figurativo,fretol,6
Alloccone,Lucu,,lucu,4
Allodola,Ciorla,ornitologia,ciorla,6
Allodola,Ciorlana,ornitologia,ciorlana,8
Allodola,ciorlasa,ornitologia,ciorlasa,8
Allodola,Sarloda,ornitologia,sarloda,7
Allodola,Sarlodola,ornitologia,sarlodola,9
Allontanare,Slontana,,slontana,8
Allontanare,Dislontana,,dislontana,10
Allora (avv.),Alura,,alura,5
Alloro,Lubagot,botanica,lubagot,7
Alloro,Orench,botanica,orench,6
Alloro,Robach,botanica,robach,6
Alloro,Robaga,botanica,robaga,6
Alluce,Dit gros,anatomia,dit gros,8
ITALIANO,BRESCIANO,categoria,bresciano,9
Allungare,Dislonga,,dislonga,8
Allungare,Slonga,,slonga,6
Allungare il collo,Scolengas,,scolengas,9
Allungarsi,Sberlongas,,sberlongas,10
Almeno,Almanch,,almanch,7
Alone della luna,Sezu de la luna,,sezu de la luna,15
Altalena,Dindoca,,dindoca,7
Altalena,Negota,arcaico,negota,6
Altalena con un asse in bilico,Baltega,,baltega,7
Altalenare nelle decisioni,Negota,arcaico,negota,6
